feature,importance
beta_lactamase_count,0.12088229186029949
total_amr_genes,0.10031293428809272
blaTEM,0.06694473478815138
ampC,0.06262439674428544
blaCTX-M,0.05542372131743568
target_mutation_count,0.05258710029097667
blaSHV,0.0511036908144037
efflux_pump_count,0.04522792805500043
plasmid_qnr_count,0.03710264611552798
carbapenemase_count,0.032663048305183885
porin_alteration_count,0.028989779820899373
qnrB,0.024383290772571526
parC_S80I,0.023714621851925147
marA,0.023359313943517226
aac(6')-Ib,0.023317916782968726
blaKPC,0.021323961625745184
parE_S458A,0.021213745259062496
mdfA,0.021059731205361705
qnrS,0.020453531468076026
gyrA_S83L,0.020286820018921105
gyrA_D87N,0.020155607933423438
ompC_down,0.019404754696820615
blaVIM,0.017274302662666597
ompK36_loss,0.016564954441720053
blaOXA,0.016548627519741167
blaNDM,0.014844124117845227
acrA,0.014133265519623388
tolC,0.01204900898202161
acrB,0.009412550878593105
blaIMP,0.0066375979191389085
