feature,importance
target_mutation_count,0.12645743045624683
total_amr_genes,0.12620990136371396
aac(6')-Ib,0.0664446542929301
plasmid_qnr_count,0.06595597117592669
beta_lactamase_count,0.057743940026523256
gyrA_D87N,0.04328502508034512
parE_S458A,0.041146973213725464
efflux_pump_count,0.040677404541622664
qnrB,0.03580055665482636
parC_S80I,0.03468117899670192
ampC,0.03085926375391912
gyrA_S83L,0.02845828058643634
qnrS,0.02817536831787186
porin_alteration_count,0.027216442774041567
marA,0.025309345626045435
carbapenemase_count,0.02215129660262638
blaTEM,0.02104705812961014
blaCTX-M,0.020587803423046884
mdfA,0.02027306376470578
ompC_down,0.01952264469784544
blaSHV,0.017160926453429374
ompK36_loss,0.017010118290166354
tolC,0.013241143941039264
blaOXA,0.01219149534329502
blaNDM,0.01210890564779981
blaKPC,0.011056482281579058
blaIMP,0.00976736174825718
acrB,0.009012588128231597
blaVIM,0.008517023014569632
acrA,0.007930351672921436
