genome_id,ceftriaxone,ciprofloxacin,meropenem
562.100003,,Susceptible,
562.100004,,Susceptible,
562.100005,,Susceptible,
562.10001,,Susceptible,
562.100017,Susceptible,,
562.100027,Susceptible,,
562.100034,,Susceptible,
562.100035,,Susceptible,
562.100039,Susceptible,,
562.100046,,,Susceptible
562.100047,,Susceptible,
562.10005,Susceptible,,
562.100052,,Susceptible,
562.100053,,,Susceptible
562.100054,Susceptible,Susceptible,
562.100064,,Susceptible,
562.100067,,,Susceptible
562.100074,,Susceptible,
562.10008,,,Susceptible
562.100082,,,Susceptible
562.100089,,,Susceptible
562.100092,,Susceptible,
562.100095,,,Susceptible
562.100096,Susceptible,Susceptible,
562.100099,,Susceptible,
562.100108,,,Susceptible
562.100113,,Susceptible,
562.100125,,Susceptible,Susceptible
562.100126,Susceptible,,
562.100135,,,Susceptible
562.100137,,Susceptible,
562.100139,,,Susceptible
562.100144,,Susceptible,
562.100147,,,Susceptible
562.100154,,,Susceptible
562.100155,,,Susceptible
562.100158,,,Susceptible
562.100164,Susceptible,,
562.100166,,Susceptible,
562.100194,,,Susceptible
562.1002,,,Susceptible
562.100202,,Susceptible,
562.100208,,,Susceptible
562.100211,,,Susceptible
562.100215,,Susceptible,
562.100217,,,Susceptible
562.100221,,Susceptible,
562.100226,,,Susceptible
562.100232,,Resistant,
562.100238,,Susceptible,
562.100242,,Susceptible,
562.100243,,,Susceptible
562.100246,Susceptible,,
562.100253,,Susceptible,
562.100258,,,Susceptible
562.100259,,Susceptible,
562.100261,,Susceptible,
562.100268,,Susceptible,
562.100284,,Susceptible,
562.100289,,,Susceptible
562.100292,Susceptible,,Susceptible
562.100294,Susceptible,,
562.100308,,,Susceptible
562.100309,Susceptible,Susceptible,
562.100318,,,Susceptible
562.10032,,,Susceptible
562.100322,,,Susceptible
562.100324,,Susceptible,
562.100331,,,Susceptible
562.100335,,Susceptible,
562.100342,Susceptible,,
562.100354,,Intermediate,
562.100363,,,Susceptible
562.100364,,Susceptible,
562.10037,,,Susceptible
562.100383,Susceptible,,
562.100385,Resistant,,
562.100386,,,Susceptible
562.100392,Susceptible,,
562.1004,,,Susceptible
562.100401,,,Susceptible
562.100404,,Susceptible,
562.100405,Resistant,,
562.10041,,,Susceptible
562.100421,,,Susceptible
562.100423,,,Susceptible
562.100427,,,Susceptible
562.100441,,,Susceptible
562.100442,,,Susceptible
562.100443,Susceptible,,
562.100444,,,Susceptible
562.100458,,Susceptible,
562.100468,,Resistant,
562.100477,,,Susceptible
562.100483,,Susceptible,
562.100488,Susceptible,,
562.100503,Susceptible,,
562.100516,,,Susceptible
562.100518,,Susceptible,
562.100524,,,Susceptible
562.100526,,Resistant,
562.100527,Susceptible,,
562.100536,,Susceptible,
562.100542,,Susceptible,
562.100549,,Susceptible,
562.100551,,Susceptible,
562.100556,,Susceptible,
562.10056,,,Susceptible
562.100565,,Susceptible,
562.100572,Susceptible,,
562.100579,Susceptible,,
562.10058,,,Susceptible
562.100581,,Susceptible,Susceptible
562.100585,,,Susceptible
562.100588,,Susceptible,
562.100597,,Susceptible,
562.100599,,,Susceptible
562.100602,,,Susceptible
562.100604,Susceptible,,
562.100607,Susceptible,,
562.10063,,Susceptible,Susceptible
562.100634,,,Susceptible
562.100635,Susceptible,,
562.100642,Susceptible,,
562.100646,,,Susceptible
562.100648,Susceptible,Susceptible,
562.100649,,,Susceptible
562.100655,,Susceptible,
562.100656,,Susceptible,
562.100658,,Susceptible,
562.10066,,Resistant,
562.100671,,,Susceptible
562.100674,Susceptible,,
562.10068,Resistant,,
562.100687,,Susceptible,Susceptible
562.100696,,Susceptible,
562.100697,,,Susceptible
562.100698,Susceptible,Susceptible,
562.100706,,Susceptible,
562.10071,,Susceptible,
562.100711,,Susceptible,
562.100715,,Resistant,
562.100719,Susceptible,,
562.10072,,Susceptible,
562.100727,Susceptible,,
562.100732,,,Susceptible
562.10074,,,Susceptible
562.100751,Resistant,,
562.100755,,,Susceptible
562.100756,,,Susceptible
562.100757,,,Susceptible
562.100761,,Resistant,
562.100762,,Susceptible,
562.100763,,Susceptible,
562.100764,Susceptible,,
562.100765,,,Susceptible
562.10077,,Susceptible,
562.100777,Susceptible,,
562.100785,Susceptible,,
562.100786,,Resistant,
562.1008,,Susceptible,
562.100804,,Susceptible,
562.100808,,Susceptible,
562.100811,,Susceptible,
562.100814,,,Susceptible
562.100816,,Susceptible,
562.100821,Susceptible,,
562.100822,,,Susceptible
562.100823,Susceptible,,
562.100829,,Intermediate,
562.100833,,Susceptible,
562.100835,,Susceptible,
562.100836,,Susceptible,
562.10084,,Susceptible,
562.100845,,,Susceptible
562.100846,,,Susceptible
562.100882,Susceptible,,Susceptible
