feature,importance
carbapenemase_count,0.12586554158021726
total_amr_genes,0.08649374516111705
porin_alteration_count,0.08216067708181501
beta_lactamase_count,0.0643482849674141
blaKPC,0.05145096618950143
target_mutation_count,0.04843250589020947
blaVIM,0.04313968428282515
ompK36_loss,0.03836337331463695
blaNDM,0.03774308294365354
ompC_down,0.03657478282925702
efflux_pump_count,0.033446777635688825
parE_S458A,0.03205821647220394
plasmid_qnr_count,0.030226547154192516
aac(6')-Ib,0.0277049919229484
gyrA_S83L,0.022032235233809042
blaSHV,0.021928682262505248
gyrA_D87N,0.02180881372942898
parC_S80I,0.02033218710956662
mdfA,0.020295177799846482
blaCTX-M,0.019924387580371822
blaTEM,0.019820694568025883
qnrB,0.018634277335445856
ampC,0.01740113841816234
marA,0.017310807652725697
qnrS,0.016287431672932846
acrB,0.011693778752567122
tolC,0.011276303423647313
blaOXA,0.010962848784077047
acrA,0.00857882082738894
blaIMP,0.003703237423818179
