feature,importance
beta_lactamase_count,0.1209949305286201
total_amr_genes,0.09982448393504079
blaTEM,0.0670911095349237
ampC,0.06299244218498737
blaCTX-M,0.05530574143538321
target_mutation_count,0.05267591207131344
blaSHV,0.05131952331187105
efflux_pump_count,0.045194278747831704
plasmid_qnr_count,0.036727460754772616
carbapenemase_count,0.0323545857896839
porin_alteration_count,0.028818498508545176
qnrB,0.024196945619221425
parC_S80I,0.02393724406256523
marA,0.023606221674526945
aac(6')-Ib,0.023524018369695147
blaKPC,0.021477672712665048
parE_S458A,0.021046265664700938
mdfA,0.02098450197980651
qnrS,0.020790085032940823
gyrA_D87N,0.0203494160183791
gyrA_S83L,0.020320265119058035
ompC_down,0.019483620730506704
blaVIM,0.01666117079931776
ompK36_loss,0.01649773894710369
blaOXA,0.01641987088738639
blaNDM,0.014668476370343448
acrA,0.014209828948691057
tolC,0.012224274259249357
acrB,0.009680099448900152
blaIMP,0.006623316551969268
