feature,importance
target_mutation_count,0.12665346943291597
total_amr_genes,0.12620706987171704
plasmid_qnr_count,0.06657841188034652
aac(6')-Ib,0.06657477675797466
beta_lactamase_count,0.057414269411648976
gyrA_D87N,0.04283193670039669
parE_S458A,0.04131290367094331
efflux_pump_count,0.04004486103629778
qnrB,0.03554408339069631
parC_S80I,0.03524001146392084
ampC,0.03078415788452457
gyrA_S83L,0.02872334984135164
qnrS,0.027991512992572944
porin_alteration_count,0.02734708557558677
marA,0.025223859876427387
carbapenemase_count,0.022115781930845776
blaTEM,0.021037216265717192
mdfA,0.02039832480492844
blaCTX-M,0.0202857944554628
ompC_down,0.0195022570486648
blaSHV,0.01723371725774605
ompK36_loss,0.016907198851024065
tolC,0.013171040472235709
blaNDM,0.012304414778418206
blaOXA,0.012126018217531745
blaKPC,0.011324383310051898
blaIMP,0.009724909878738362
acrB,0.008831599604014615
blaVIM,0.008579362954977549
acrA,0.007986220382321451
