model,auc_mean,auc_std,mcc_mean,mcc_std,antibiotic
RandomForest,,,0.6868527143089601,0.037006800263131634,ciprofloxacin
XGBoost,,,0.6653988560672133,0.034871161095812786,ciprofloxacin
LightGBM,,,0.6294325538321586,0.03179920246893918,ciprofloxacin
LogisticRegression,,,0.5632684063597676,0.041270858674929495,ciprofloxacin
NeuralNetwork,,,0.6989587146577023,0.032468310665973193,ciprofloxacin
RandomForest,,,0.5901683325947092,0.04353177975775292,ceftriaxone
XGBoost,,,0.5473222320953436,0.04156837602951268,ceftriaxone
LightGBM,,,0.5103711150288787,0.04380578213532056,ceftriaxone
LogisticRegression,,,0.49335480974513246,0.03449478313501022,ceftriaxone
NeuralNetwork,,,0.6077633001579212,0.05855429882383615,ceftriaxone
RandomForest,,,0.6797522505326941,0.039382027771035694,meropenem
XGBoost,,,0.664047263250042,0.04742866596051463,meropenem
LightGBM,,,0.6383293120368643,0.027886564140616802,meropenem
LogisticRegression,,,0.5070811518016061,0.027161215663052483,meropenem
NeuralNetwork,,,0.6546222997308639,0.035223788504588634,meropenem
