feature,importance
carbapenemase_count,0.12587953095853463
total_amr_genes,0.08647059105015276
porin_alteration_count,0.08105604093845217
beta_lactamase_count,0.06448247116920312
blaKPC,0.05161745005154298
target_mutation_count,0.048881834835493285
blaVIM,0.04286206275056797
ompK36_loss,0.0390458646116702
blaNDM,0.0376966847246918
ompC_down,0.03641145916108561
efflux_pump_count,0.0332740159361578
parE_S458A,0.03189252767630037
plasmid_qnr_count,0.030276471487954166
aac(6')-Ib,0.02746563464589077
blaSHV,0.02259240820547562
gyrA_D87N,0.02209927124594254
gyrA_S83L,0.021730423048098375
mdfA,0.020560070058383794
parC_S80I,0.02039762603647236
blaCTX-M,0.019971342501583285
blaTEM,0.019422703353808274
qnrB,0.018269914309425875
ampC,0.017700538630350836
marA,0.01766030473253722
qnrS,0.016344159115432036
acrB,0.011601827466010801
tolC,0.011267153329448883
blaOXA,0.010953648746758807
acrA,0.008499562282633632
blaIMP,0.003616406939940181
