genome_id	gene_symbol
562.36198	EmrAB-TolC
562.102224	emrB
562.102281	acrE
562.102029	gadE
562.99846	EmrKY-TolC
562.102089	emrA
562.102324	EF-Tu
562.102066	PmrF
562.102285	acrS
562.102134	Ddl
562.101991	MarR
562.100606	S10p
562.102054	gadW
562.102198	AcrAD-TolC
562.99849	baeS
562.64262	folA, Dfr
562.99848	gyrB
562.99849	MdtABC-TolC
562.100664	OxyR
562.99918	EF-Tu
562.99913	EmrAB-TolC
562.102088	parE
562.100611	folP
562.102124	ompF
562.102257	EF-G
562.102224	acrE
562.59101	UhpT
562.9992	Ddl
562.101969	rpoB
562.10207	mdtK
562.102189	leuO
562.99899	folP
562.99784	folP
562.61679	adiY
562.67131	folP
562.102121	murA
562.102269	mdtN
562.6873	OxyR
562.100599	emrB
562.102087	baeS
562.37063	emrB
562.102082	mdtO
562.1022	H-NS
562.102319	MarA
562.102148	mdtO
562.102149	adiY
562.102211	KatG
562.102283	MdfA/Cmr
562.102148	MurA
562.101991	Ddl
562.39233	evgA
562.99948	mdtM
562.100598	rpoB
562.99783	UhpT
562.10205	H-NS
562.102021	CRP
562.99778	murA
562.100598	PmrB
562.100019	mdtN
562.9989	OxyR
562.102295	GlpT
562.102033	MarB
562.10205	EmrKY-TolC
562.46504	acrF
562.46952	alaS
562.99887	MarR
562.100675	EmrKY-TolC
562.36172	arnA
868202.3	mdfA
562.56875	cpxR
562.102076	BcrC
562.99848	emrR
562.47988	AcrEF-TolC 
562.31318	parC
562.100635	kdpE
562.99948	GlpT
562.102281	GdpD
562.99789	EF-Tu
562.102313	MarA
562.102021	msbA
562.99784	EmrKY-TolC
562.102038	AcrAD-TolC
562.10206	TolC/OpmH
562.99891	cpxA
562.102179	EF-Tu
562.102159	mdtH
562.99938	MacB
562.102186	mdtD
562.102005	gyrA
562.102286	mdtM
562.102159	gyrB
562.102003	mdtO
562.46726	SugE
562.102326	Ddl
562.102048	MdtEF-TolC
562.99766	kdpE
562.102037	folP
562.10207	mdtD
562.30771	gadX
562.102198	EmrAB-TolC
562.53976	mdtP
562.102299	PhoP
562.65597	mdtA
562.100023	gyrB
562.100648	EmrAB-TolC
562.102147	UhpT
562.101959	mdtE
562.100616	rho
562.50466	cpxR
562.100611	Iso-tRNA
562.100655	acrA
562.102198	mdtH
562.70499	EmrE
562.54752	kasA
562.46652	cpxA
562.102065	rpoC
562.102285	MdtABC-TolC
562.10232	mdtG
562.101988	emrA
562.102037	PgsA
562.102032	bacA
562.102229	AcrEF-TolC 
562.101984	evgA
562.99946	AcrEF-TolC 
562.100618	inhA, fabI
562.102222	AcrAB-TolC
562.10219	BlaEC family
562.55204	mdfA
562.62966	BcrC
562.99887	mdtG
562.102178	kdpE
562.10221	acrE
562.102162	mgrB
562.99916	AcrAB-TolC
562.102053	acrR
562.102176	EmrAB-TolC
562.102181	BlaEC family
562.99785	MacA
562.102293	KatG
562.102287	EmrAB-TolC
562.102037	EF-Tu
562.102295	EmrAB-TolC
562.99897	nfsA
562.99944	folP
562.99951	acrS
562.100676	S12p
562.102086	soxR
562.102293	ampC
562.102132	BlaEC family
562.59067	AcrAB-TolC
562.99952	gyrB
562.99903	acrF
562.102191	mdtO
562.100012	Ddl
562.102045	folP
562.999	emrK
562.100642	MdtM
562.101976	patA
562.101991	emrR
562.10219	ompF
562.56859	mdtN
562.102189	H-NS
562.99951	folP
562.7054	tolC
562.102103	emrY
562.1023	gidB
562.99904	evgS
562.102204	AcrZ
562.102159	mdtO
562.102029	EF-Tu
562.10065	baeR
562.102041	AcrEF-TolC 
562.102304	MarR
562.102067	AcrEF-TolC 
562.100663	EmrKY-TolC
562.10221	murA
562.99927	mdtH
562.100623	soxS
562.102205	murA
562.10003	kasA
562.102195	gyrA
562.99887	rpoB
679895.113	mdtH
562.102159	APH(3'')-I
562.102228	MdtABC-TolC
562.100648	MurA
562.10209	mdtE
562.46868	GlpT
562.1022	PgsA
562.10201	APH(6)-Ic/APH(6)-Id
562.102195	alaS
562.67258	mdtG
562.31045	acrB
562.102039	UhpT
562.102023	acrD
562.102214	gadX
562.102159	H-NS
562.102226	EmrKY-TolC
562.102067	acrD
562.102037	dfrA14
562.102185	msbA
562.102219	acrR
562.102201	inhA, fabI
562.102091	adiY
562.99902	evgS
562.102065	rpoB
562.102291	emrE
562.100638	MdtEF-TolC
562.102039	mdtF
562.101968	PgsA
562.10203	baeR
562.102022	AcrAB-TolC
562.102038	PmrF
562.102332	kasA
562.10222	MdtEF-TolC
562.102218	EmrKY-TolC
562.102054	evgS
562.42863	emrE
562.102014	GadE
562.999	mdtD
562.99848	folP
562.102153	folA, Dfr
562.9994	GdpD
562.102063	GadE
562.99781	OxyR
562.102199	MdtL
562.102257	UhpT
562.99786	msbA
562.42839	patA
562.99783	Iso-tRNA
562.9978	MurA
562.99932	SugE
562.102069	mdtP
562.99964	mdtM
562.102219	emrY
562.50467	EF-G
562.102193	arnA
562.102083	Ddl
562.100635	soxS
562.102322	EmrAB-TolC
562.59181	gadX
562.100024	mdtO
562.102023	sul2
562.45451	MdtEF-TolC
562.99787	AcrEF-TolC 
562.99901	mdtH
562.102283	cysB
562.102078	GadE
562.102033	SugE
562.100035	UhpT
562.100677	SugE
562.102093	EmrD
562.62948	ompF
562.102265	EmrE
562.102287	arnA
562.102045	AcrEF-TolC 
562.102031	folA, Dfr
562.102224	EmrD
562.100676	gadW
562.99955	arnA
562.102007	mdtK
562.99946	rpoB
562.99887	acrB
562.102069	KatG
562.68509	MdtEF-TolC
562.102293	MdfA/Cmr
562.102038	soxS
562.99909	TolC/OpmH
562.100011	Iso-tRNA
562.101969	parE
562.102201	MdtM
562.99785	folP
562.102307	folP
562.102285	gyrA
562.54817	EmrAB-TolC
562.102182	parC
562.102311	AcrEF-TolC 
562.102018	emrA
562.102048	acrR
562.102307	parE
562.9984	gadX
562.100616	baeS
562.46145	UhpT
562.10232	Alr
562.10215	EmrKY-TolC
562.4266	mdtK
562.102168	MdfA/Cmr
562.10221	emrK
562.102292	MdtABC-TolC
562.101972	cpxR
562.102093	EmrAB-TolC
562.102301	evgS
562.99928	CatB family
562.102188	PmrB
562.10231	adiY
562.102065	EF-G
562.33379	rpoC
562.67367	evgS
562.46681	AcrEF-TolC 
562.42641	mdfA
