Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","562.36198","Escherichia coli strain 2012-1","fig|562.36198.peg.488",,,,,"EmrAB-TolC","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","efflux pump conferring antibiotic resistance","Fluoroquinolones Quinolones Quinolines","nalidixic acid","1409590",,,,
"BLAT","Antibiotic Resistance","CARD","562.102224","Escherichia coli IBD_EPEC10","fig|562.102224.peg.3240","E4520_08870",,"AAC75733.1","Escherichia coli str. K-12 substr. MG1655","emrB","Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",,"efflux pump conferring antibiotic resistance",,"nalidixic acid",,100,100,99,"1e-300"
"BLAT","Antibiotic Resistance","CARD","562.102281","Escherichia coli Col931","fig|562.102281.peg.4291","K9T68_19325",,"AAC76297.1","Escherichia coli str. K-12 substr. MG1655","acrE","Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-216"
"K-mer Search","Antibiotic Resistance","PATRIC","562.23727","Escherichia coli O25:H4 strain ECO1456","fig|562.23727.peg.1498",,,,,,"Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)",,"protein altering cell wall charge conferring antibiotic resistance","peptide antibiotics","daptomycin","21899450",,,,
"BLAT","Antibiotic Resistance","CARD","562.102029","Escherichia coli Map_197_002","fig|562.102029.peg.393",,,"NP_417969.1","Escherichia coli str. K-12 substr. MG1655","gadE","Transcriptional activator GadE",,"antibiotic resistance gene cluster, cassette, or operon,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"8e-96"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99846","Escherichia coli ed681138-7bb8-11e9-a8d3-68b59976a384","fig|562.99846.peg.1736",,,,,"EmrKY-TolC","Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)","Multidrug efflux system EmrKY-TolC, inner-membrane proton/drug antiporter EmrY (MFS type)","efflux pump conferring antibiotic resistance","Tetracyclines�","tetracycline","20128927;12501312",,,,
"BLAT","Antibiotic Resistance","CARD","244319.269","Escherichia coli O26:H11 strain 1822","fig|244319.269.peg.140",,,"CDJ72593","Escherichia coli str. K-12 substr. MC4100",,"Glycerol-3-phosphate transporter",,"antibiotic resistant gene variant or mutant,fosfomycin resistance gene",,,,100,100,99,"1e-275"
"BLAT","Antibiotic Resistance","CARD","562.102089","Escherichia coli Map_171_005","fig|562.102089.peg.1479",,,"BAA16547.1","Escherichia coli str. K-12 substr. W3110","emrA","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA",,"efflux pump conferring antibiotic resistance",,"nalidixic acid",,100,100,97,"1e-213"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102324","Escherichia coli A140453","fig|562.102324.peg.4770",,,,,"EF-Tu","Translation elongation factor Tu","Translation elongation factor Tu","antibiotic target in susceptible species","Elfamycins","kirromycin;enacyloxin IIa;pulvomycin","364475;9678602",,,,
"BLAT","Antibiotic Resistance","CARD","562.101977","Escherichia coli SMG003F7","fig|562.101977.peg.1591",,,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,12,98,93,"8e-19"
"BLAT","Antibiotic Resistance","CARD","562.102066","Escherichia coli Map_187_001","fig|562.102066.peg.1831",,,"AAC75314.1","Escherichia coli str. K-12 substr. MG1655","PmrF","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,"colistin",,100,100,99,"1e-184"
"BLAT","Antibiotic Resistance","CARD","562.102285","Escherichia coli Col755","fig|562.102285.peg.2259","K9T96_01660",,"AAC76296.1","Escherichia coli str. K-12 substr. MG1655","acrS","Probable acrEF/envCD operon repressor EnvR",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,99,"1e-123"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102134","Escherichia coli Ec-050-T20-ESBL","fig|562.102134.peg.3672","LNN47_17585",,,,"Ddl","D-alanine--D-alanine ligase (EC 6.3.2.4)","D-alanine--D-alanine ligase (EC 6.3.2.4)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","24303782;24033232",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.101991","Escherichia coli B619_005","fig|562.101991.peg.406",,,,,"MarR","Multiple antibiotic resistance protein MarR","Multiple antibiotic resistance protein MarR","antibiotic resistance gene cluster,cassette,or operon","Penams, Carbapenems, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Rifamycins, Phenicol antibiotics,  Glycylcyclines, Fluoroquinolones Quinolones Quinolines, Triclosan","cefalothin;chloramphenicol;tigecycline;ampicillin;tetracycline;rifampin","7768850;8282690;8383113;9068629",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100606","Escherichia coli c3d1f90a-7bb9-11e9-a8d3-68b59976a384","fig|562.100606.peg.4584",,,,,"S10p","SSU ribosomal protein S10p (S20e)","SSU ribosomal protein S10p (S20e)","antibiotic target in susceptible species","Tetracyclines, Glycylcyclines","tetracycline;tigecycline","26124155",,,,
"BLAT","Antibiotic Resistance","CARD","562.102054","Escherichia coli Map_7_007","fig|562.102054.peg.1014",,,"ANK04027.1","Escherichia coli O25b:H4","gadW","Transcriptional regulator GadW, AraC family",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-137"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102198","Escherichia coli DIAR_EPEC35","fig|562.102198.peg.302","E4491_17300",,,,"AcrAD-TolC","Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)","Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)","efflux pump conferring antibiotic resistance","Aminoglycosides","amikacin;gentamicin C;tobramycin ","10692383",,,,
"BLAT","Antibiotic Resistance","CARD","562.99849","Escherichia coli f7dc3536-7bb8-11e9-a8d3-68b59976a384","fig|562.99849.peg.810",,,"BAA15934.1","Escherichia coli str. K-12 substr. W3110","baeS","Sensory histidine kinase BaeS",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,99,"1e-270"
